CVEGEO,Población total 2010,Población de 0 a 14 años 2010,Población de 65 años y más 2010,Población femenina 2010,Población femenina de 0 a 14 años 2010,Población femenina de 15 años y más 2010,Población femenina de 65 años y más 2010,Población masculina 2010,Población masculina de 0 a 14 años 2010,Población masculina de 15 años y más 2010,Población masculina de 65 años y más 2010,Población de 15 años y más 2010,Población total 2015,Población de 15 años y más 2015,Población de 65 años y más 2015,Población femenina 2015,Población femenina de 0 a 14 años 2015,Población femenina de 15 años y más 2015,Población femenina de 65 años y más 2015,Población masculina 2015,Población masculina de 0 a 14 años 2015,Población masculina de 15 años y más 2015,Población de 0 a 14 años 2015,Población masculina de 65 años y más 2015,NOM_ENT,NOM_MUN,LAT_DEC,LON_DEC,Ganador 2010,Ganador 2015
01001,797010.0,238193.0,40309.0,410581.0,117108.0,291830.0,22738.0,386429.0,121085.0,263741.0,17571.0,555571.0,877190,631540,52170,451459,209354,329653,29086,425731,123844,301887,245650,23084,Aguascalientes,Aguascalientes,21.879823,-102.296047,PAN,NA
01002,45492.0,16209.0,2627.0,22980.0,7941.0,15022.0,1293.0,22512.0,8268.0,14228.0,1334.0,29250.0,46464,31049,2958,23719,10992,16041,1542,22745,7737,15008,15415,1416,Aguascalientes,Asientos,22.238317,-102.089275,PAN,NA
01003,54136.0,17800.0,4034.0,27886.0,8675.0,19182.0,2052.0,26250.0,9125.0,17100.0,1982.0,36282.0,56048,38716,4722,28750,13542,20203,2369,27298,8785,18513,17332,2353,Aguascalientes,Calvillo,21.846907,-102.718751,PRI,NA
01004,15042.0,5255.0,844.0,7716.0,2616.0,5092.0,426.0,7326.0,2639.0,4682.0,418.0,9774.0,15577,10487,998,8025,3647,5436,519,7552,2501,5051,5090,479,Aguascalientes,Cosío,22.366409,-102.300044,PRI,NA
01005,99590.0,35746.0,3640.0,50500.0,17573.0,32742.0,1830.0,49090.0,18173.0,30738.0,1810.0,63480.0,120405,80580,4820,60270,29153,40859,2397,60135,20414,39721,39825,2423,Aguascalientes,Jesús María,21.961273,-102.343416,PRI,NA
01006,41862.0,14373.0,2169.0,21692.0,7229.0,14427.0,1155.0,20170.0,7144.0,12992.0,1014.0,27419.0,46473,31120,2440,23983,11418,16263,1314,22490,7633,14857,15353,1126,Aguascalientes,Pabellón de Arteaga,22.149202,-102.276542,PRI,NA
01007,49156.0,17097.0,2520.0,25089.0,8399.0,16659.0,1282.0,24067.0,8698.0,15340.0,1238.0,31999.0,53866,35706,2905,27173,12740,18582,1597,26693,9569,17124,18160,1308,Aguascalientes,Rincón de Romos,22.229233,-102.323069,PRI,NA
01008,8443.0,2899.0,573.0,4400.0,1476.0,2898.0,288.0,4043.0,1423.0,2597.0,285.0,5495.0,8896,5854,625,4620,2120,3118,310,4276,1540,2736,3042,315,Aguascalientes,San José de Gracia,22.150216,-102.415634,PRI,NA
01009,19668.0,6947.0,1205.0,10068.0,3484.0,6582.0,584.0,9600.0,3463.0,6134.0,621.0,12716.0,20926,14031,1524,10729,4986,7286,782,10197,3452,6745,6895,742,Aguascalientes,Tepezalá,22.224228,-102.166971,PAN,NA
01010,18828.0,6444.0,1085.0,9255.0,3055.0,6190.0,537.0,9573.0,3389.0,6177.0,548.0,12367.0,20245,13703,1371,10263,4775,7090,715,9982,3369,6613,6542,656,Aguascalientes,El Llano,21.918869,-101.965307,PRI,NA
01011,35769.0,13274.0,1341.0,18191.0,6553.0,11577.0,685.0,17578.0,6721.0,10797.0,656.0,22374.0,46454,30183,1586,23462,11447,15495,793,22992,8304,14688,16271,793,Aguascalientes,San Francisco de los Romo,22.072393,-102.272678,PRI,NA
02001,466814.0,133843.0,23692.0,231684.0,65965.0,164299.0,12192.0,235130.0,67878.0,165826.0,11500.0,330125.0,486639,356311,29290,243459,117441,179948,15803,243180,66817,176363,130328,13487,Baja California,Ensenada,31.808944,-116.595134,NA,NA
02002,936826.0,257766.0,49e3,463623.0,126250.0,327927.0,26297.0,473203.0,131516.0,332191.0,22703.0,660118.0,988417,729733,61569,497523,240001,368226,33208,490894,129387,361507,258684,28361,Baja California,Mexicali,32.641176,-115.475579,NA,NA
02003,101079.0,29143.0,4759.0,47756.0,14322.0,33123.0,2366.0,53323.0,14821.0,38090.0,2393.0,71213.0,102406,74276,6384,51139,24437,37354,3258,51267,14345,36922,28130,3126,Baja California,Tecate,32.572679,-116.62655,NA,NA
02004,1559683.0,455181.0,59287.0,776030.0,224085.0,546350.0,32281.0,783653.0,231096.0,546846.0,27006.0,1093196.0,1641570,1197950,78306,824832,388685,606277,42409,816738,225065,591673,443620,35897,Baja California,Tijuana,32.532461,-117.018913,NA,NA
02005,90668.0,25953.0,3887.0,44367.0,12728.0,29855.0,1836.0,46301.0,13225.0,31252.0,2051.0,61107.0,96734,69982,5846,48472,23962,35087,2825,48262,13367,34895,26752,3021,Baja California,Playas de Rosarito,32.363684,-117.054459,NA,NA
03001,70816.0,20235.0,4370.0,34380.0,9762.0,24556.0,2153.0,36436.0,10473.0,25897.0,2217.0,50453.0,72564,53290,5631,36151,17873,26567,2785,36413,9690,26723,19274,2846,Baja California Sur,Comondú,25.034434,-111.673218,NA,PAN
03002,59114.0,17342.0,3257.0,28497.0,8560.0,19715.0,1574.0,30617.0,8782.0,21615.0,1683.0,41330.0,60171,43303,4237,29057,14598,20838,2070,31114,8649,22465,16868,2167,Baja California Sur,Mulegé,27.336868,-112.268275,NA,PAN
03003,251871.0,64202.0,13394.0,125474.0,31655.0,92144.0,7080.0,126397.0,32547.0,92168.0,6314.0,184312.0,272711,206308,17981,138728,63762,105008,10001,133983,32683,101300,66403,7980,Baja California Sur,La Paz,24.142222,-110.310833,NA,PAN
03008,238487.0,72151.0,5411.0,115386.0,35467.0,77358.0,2698.0,123101.0,36684.0,83838.0,2713.0,161196.0,287671,205695,9747,139690,68029,98471,5118,147981,40757,107224,81976,4629,Baja California Sur,Los Cabos,23.061591,-109.694749,NA,0
03009,16738.0,4542.0,787.0,7856.0,2212.0,5509.0,391.0,8882.0,2330.0,6417.0,396.0,11926.0,18912,13930,1411,9266,4648,6820,726,9646,2536,7110,4982,685,Baja California Sur,Loreto,26.012778,-111.343333,NA,0
04001,52890.0,14554.0,4064.0,26818.0,7223.0,19500.0,2011.0,26072.0,7331.0,18647.0,2053.0,38147.0,56537,41690,4577,28879,13288,21519,2371,27658,7487,20171,14847,2206,Campeche,Calkiní,20.371226,-90.050739,NA,PRD
04002,259005.0,65823.0,16092.0,133444.0,32442.0,100376.0,8725.0,125561.0,33381.0,91553.0,7367.0,191929.0,283025,212722,20016,147620,68486,112327,10710,135405,35010,100395,70303,9306,Campeche,Campeche,19.844814,-90.539649,NA,PRD
04003,221094.0,61399.0,9334.0,110777.0,30243.0,78471.0,4750.0,110317.0,31156.0,77097.0,4584.0,155568.0,248303,185503,13641,126268,57650,94545,6909,122035,31077,90958,62800,6732,Campeche,Carmen,18.637789,-91.83645,NA,PAN
04004,83021.0,25493.0,4975.0,41261.0,12525.0,28559.0,2188.0,41760.0,12968.0,28611.0,2787.0,57170.0,90244,63582,6209,45319,21171,32004,2866,44925,13347,31578,26662,3343,Campeche,Champotón,19.356219,-90.723891,NA,PRD
04005,28306.0,8131.0,1949.0,14213.0,3971.0,10232.0,945.0,14093.0,4160.0,9920.0,1004.0,20152.0,31230,21994,2144,15760,7502,11173,1008,15470,4649,10821,9236,1136,Campeche,Hecelchakán,20.176966,-90.134517,NA,PRD
04006,37777.0,12815.0,2338.0,18471.0,6240.0,12227.0,1036.0,19306.0,6575.0,12725.0,1302.0,24952.0,40100,26873,2640,19729,9564,13268,1187,20371,6766,13605,13227,1453,Campeche,Hopelchén,19.745548,-89.845044,NA,PRD
04007,8352.0,2492.0,681.0,4122.0,1209.0,2894.0,322.0,4230.0,1283.0,2926.0,359.0,5820.0,8971,6362,779,4449,2141,3174,363,4522,1334,3188,2609,416,Campeche,Palizada,18.253598,-92.090902,NA,PAN
04008,9736.0,2717.0,680.0,4734.0,1291.0,3441.0,309.0,5002.0,1426.0,3575.0,371.0,7016.0,10665,7796,801,5246,2479,3878,372,5419,1501,3918,2869,429,Campeche,Tenabo,20.039677,-90.225763,NA,PRD
04009,54184.0,18079.0,2868.0,27375.0,8887.0,18420.0,1267.0,26809.0,9192.0,17550.0,1601.0,35970.0,58553,40416,3686,29667,13809,20955,1759,28886,9425,19461,18137,1927,Campeche,Escárcega,18.604315,-90.732001,NA,PRD
04010,26882.0,10609.0,1211.0,13235.0,5213.0,8006.0,472.0,13647.0,5396.0,8235.0,739.0,16241.0,28424,18525,1505,13915,6836,9198,593,14509,5182,9327,9899,912,Campeche,Calakmul,18.505371,-89.397276,NA,PAN
04011,41194.0,14426.0,2308.0,20270.0,7073.0,13081.0,958.0,20924.0,7353.0,13468.0,1350.0,26549.0,43879,29041,2623,21803,10601,14355,1167,22076,7390,14686,14838,1456,Campeche,Candelaria,18.183451,-91.046294,NA,0
05001,1070.0,243.0,154.0,539.0,129.0,410.0,72.0,531.0,114.0,417.0,82.0,827.0,1015,789,151,504,253,393,72,511,115,396,226,79,Coahuila de Zaragoza,Abasolo,27.181944,-101.426389,NA,NA
05002,136755.0,44339.0,4963.0,68405.0,21808.0,45644.0,2599.0,68350.0,22531.0,44863.0,2364.0,90507.0,147809,103758,6635,74249,35464,52373,3627,73560,22175,51385,44051,3008,Coahuila de Zaragoza,Acuña,29.330006,-100.978258,NA,NA
05003,22675.0,6477.0,1540.0,11561.0,3213.0,8111.0,834.0,11114.0,3264.0,7616.0,706.0,15727.0,22654,16243,1629,11451,5681,8337,860,11203,3297,7906,6411,769,Coahuila de Zaragoza,Allende,28.347222,-100.854167,NA,NA
05004,22544.0,6650.0,1787.0,11004.0,3300.0,7592.0,821.0,11540.0,3350.0,8080.0,966.0,15672.0,23271,16530,2065,11545,5273,8175,943,11726,3371,8355,6741,1122,Coahuila de Zaragoza,Arteaga,25.450621,-100.849623,NA,NA
05005,1808.0,494.0,229.0,869.0,226.0,634.0,106.0,939.0,268.0,663.0,123.0,1297.0,1720,1247,231,817,416,610,111,903,266,637,473,120,Coahuila de Zaragoza,Candela,26.840278,-100.663889,NA,NA
05006,25892.0,7562.0,1668.0,12947.0,3754.0,9158.0,847.0,12945.0,3808.0,9102.0,821.0,18260.0,28068,20149,1874,14165,6721,10184,926,13903,3938,9965,7919,948,Coahuila de Zaragoza,Castaños,26.785278,-101.430556,NA,NA
05007,13013.0,3982.0,1065.0,6448.0,1939.0,4497.0,536.0,6565.0,2043.0,4506.0,529.0,9003.0,13546,9499,1111,6753,3219,4768,553,6793,2062,4731,4047,558,Coahuila de Zaragoza,Cuatro Ciénegas,26.985833,-102.066667,NA,NA
05008,2901.0,818.0,265.0,1426.0,387.0,1033.0,124.0,1475.0,431.0,1040.0,141.0,2073.0,3077,2192,288,1520,767,1104,127,1557,469,1088,885,161,Coahuila de Zaragoza,Escobedo,27.234722,-101.4125,NA,NA
05009,55676.0,17364.0,3385.0,27937.0,8448.0,19443.0,1661.0,27739.0,8916.0,18779.0,1724.0,38222.0,58360,41568,3963,29497,14083,21264,1903,28863,8559,20304,16792,2060,Coahuila de Zaragoza,Francisco I. Madero,25.775,-103.273056,NA,NA
